date,track_name,artist_name,peak_position,weeks_on_chart,current_position
2000-01-01,Smooth,Santana Featuring Rob Thomas,1,23,1
2000-01-01,Back At One,Brian McKnight,2,19,2
2000-01-01,I Wanna Love You Forever,Jessica Simpson,3,12,3
2000-01-01,My Love Is Your Love,Whitney Houston,4,18,4
2000-01-01,I Knew I Loved You,Savage Garden,4,11,5
2000-01-01,I Need To Know,Marc Anthony,3,17,6
2000-01-01,Hot Boyz,"Missy ""Misdemeanor"" Elliott Featuring NAS, EVE & Q-Tip",7,6,7
2000-01-01,U Know What's Up,Donell Jones,7,15,8
2000-01-01,Bring It All To Me,Blaque,9,11,9
2000-01-01,Girl On TV,LFO,10,7,10
2000-01-01,What A Girl Wants,Christina Aguilera,11,6,11
2000-01-01,24/7,Kevon Edmonds,10,9,12
2000-01-01,Blue (Da Ba Dee),Eiffel 65,13,4,13
2000-01-01,Then The Morning Comes,Smash Mouth,14,10,14
2000-01-01,He Can't Love U,Jagged Edge,15,4,15
2000-01-01,Waiting For Tonight,Jennifer Lopez,8,12,16
2000-01-01,That's The Way It Is,Celine Dion,17,8,17
2000-01-01,The Christmas Song (Chestnuts Roasting On An Open Fire),Christina Aguilera,18,3,18
2000-01-01,Dancin',Guy,19,3,19
2000-01-01,Steal My Sunshine,Len,9,21,20
2000-01-01,Get It On Tonite,Montell Jordan,21,11,21
2000-01-01,Learn To Fly,Foo Fighters,22,12,22
2000-01-01,Big Deal,LeAnn Rimes,23,12,23
2000-01-01,Meet Virginia,Train,21,13,24
2000-01-01,Unpretty,TLC,1,28,25
2000-01-01,Breathe,Faith Hill,26,9,26
2000-01-01,Back That Thang Up,Juvenile Featuring Mannie Fresh & Lil' Wayne,19,26,27
2000-01-01,"4, 5, 6",Sole Featuring JT Money & Kandi,21,10,28
2000-01-01,Stay The Night,IMx,29,13,29
2000-01-01,Don't Say You Love Me,M2M,30,7,30
2000-01-01,Where My Girls At?,702,4,36,31
2000-01-01,Mambo No. 5 (A Little Bit Of...),Lou Bega,3,19,32
2000-01-01,Hanginaround,Counting Crows,33,9,33
2000-01-01,Take A Picture,Filter,34,6,34
2000-01-01,Get Gone,Ideal,13,20,35
2000-01-01,Someday,Sugar Ray,7,27,36
2000-01-01,He Didn't Have To Be,Brad Paisley,30,11,37
2000-01-01,Got Your Money,Ol' Dirty Bastard Featuring Kelis,33,11,38
2000-01-01,Shake Your Bon-Bon,Ricky Martin,39,7,39
2000-01-01,If You Love Me,Mint Condition,30,9,40
2000-01-01,Black Balloon,Goo Goo Dolls,16,26,41
2000-01-01,Rhythm Divine,Enrique Iglesias,42,5,42
2000-01-01,Thank God I Found You,Mariah Carey Featuring Joe & 98 Degrees,43,4,43
2000-01-01,Satisfy You,Puff Daddy Featuring R. Kelly,2,15,44
2000-01-01,Amazed,Lonestar,24,22,45
2000-01-01,What Do You Say,Reba,46,10,46
2000-01-01,You Can Do It,Ice Cube Featuring Mack 10 & Ms. Toi,42,5,47
2000-01-01,Cowboy Take Me Away,Dixie Chicks,48,6,48
2000-01-01,When I Said I Do,Clint Black,31,12,49
2000-01-01,My Best Friend,Tim McGraw,50,6,50
2000-01-01,Got To Get It,Sisqo Featuring Make It Hot,48,7,51
2000-01-01,All The Small Things,blink-182,52,5,52
2000-01-01,This Gift,98 Degrees,53,1,53
2000-01-01,Auld Lang Syne,Kenny G,54,2,54
2000-01-01,Angels,Robbie Williams,55,7,55
2000-01-01,Say My Name,Destiny's Child,56,2,56
2000-01-01,Pop A Top,Alan Jackson,55,8,57
