track_name,artist_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,combined,date,peak_position,weeks_on_chart,current_position
lala,myke towers,1,2023,3,23,1474,48,133716286.0,48,126,58,14,382,92,C#,Major,71,61,74,7,0,10,4,lala myke towers,2023-08-01,48,3,49
lala,myke towers,1,2023,3,23,1474,48,133716286.0,48,126,58,14,382,92,C#,Major,71,61,74,7,0,10,4,lala myke towers,2023-09-01,43,7,45
lala,myke towers,1,2023,3,23,1474,48,133716286.0,48,126,58,14,382,92,C#,Major,71,61,74,7,0,10,4,lala myke towers,2023-10-01,43,12,59
lala,myke towers,1,2023,3,23,1474,48,133716286.0,48,126,58,14,382,92,C#,Major,71,61,74,7,0,10,4,lala myke towers,2023-11-01,43,16,62
lala,myke towers,1,2023,3,23,1474,48,133716286.0,48,126,58,14,382,92,C#,Major,71,61,74,7,0,10,4,lala myke towers,2023-12-01,43,20,89
vampire,olivia rodrigo,1,2023,6,30,1397,113,140003974.0,94,207,91,14,949,138,F,Major,51,32,53,17,0,31,6,vampire olivia rodrigo,2023-08-01,1,4,10
vampire,olivia rodrigo,1,2023,6,30,1397,113,140003974.0,94,207,91,14,949,138,F,Major,51,32,53,17,0,31,6,vampire olivia rodrigo,2023-09-01,1,8,8
vampire,olivia rodrigo,1,2023,6,30,1397,113,140003974.0,94,207,91,14,949,138,F,Major,51,32,53,17,0,31,6,vampire olivia rodrigo,2023-10-01,1,13,7
vampire,olivia rodrigo,1,2023,6,30,1397,113,140003974.0,94,207,91,14,949,138,F,Major,51,32,53,17,0,31,6,vampire olivia rodrigo,2023-11-01,1,17,11
vampire,olivia rodrigo,1,2023,6,30,1397,113,140003974.0,94,207,91,14,949,138,F,Major,51,32,53,17,0,31,6,vampire olivia rodrigo,2023-12-01,1,21,23
vampire,olivia rodrigo,1,2023,6,30,1397,113,140003974.0,94,207,91,14,949,138,F,Major,51,32,53,17,0,31,6,vampire olivia rodrigo,2024-02-01,1,27,38
vampire,olivia rodrigo,1,2023,6,30,1397,113,140003974.0,94,207,91,14,949,138,F,Major,51,32,53,17,0,31,6,vampire olivia rodrigo,2024-03-01,1,31,36
cruel summer,taylor swift,1,2019,8,23,7858,100,800840817.0,116,207,125,12,548,170,A,Major,55,58,72,11,0,11,15,cruel summer taylor swift,2019-09-01,29,1,29
cruel summer,taylor swift,1,2019,8,23,7858,100,800840817.0,116,207,125,12,548,170,A,Major,55,58,72,11,0,11,15,cruel summer taylor swift,2023-06-01,29,3,49
cruel summer,taylor swift,1,2019,8,23,7858,100,800840817.0,116,207,125,12,548,170,A,Major,55,58,72,11,0,11,15,cruel summer taylor swift,2023-07-01,18,7,18
cruel summer,taylor swift,1,2019,8,23,7858,100,800840817.0,116,207,125,12,548,170,A,Major,55,58,72,11,0,11,15,cruel summer taylor swift,2023-08-01,6,12,6
cruel summer,taylor swift,1,2019,8,23,7858,100,800840817.0,116,207,125,12,548,170,A,Major,55,58,72,11,0,11,15,cruel summer taylor swift,2023-09-01,3,16,4
cruel summer,taylor swift,1,2019,8,23,7858,100,800840817.0,116,207,125,12,548,170,A,Major,55,58,72,11,0,11,15,cruel summer taylor swift,2023-10-01,3,21,4
cruel summer,taylor swift,1,2019,8,23,7858,100,800840817.0,116,207,125,12,548,170,A,Major,55,58,72,11,0,11,15,cruel summer taylor swift,2023-11-01,1,25,1
cruel summer,taylor swift,1,2019,8,23,7858,100,800840817.0,116,207,125,12,548,170,A,Major,55,58,72,11,0,11,15,cruel summer taylor swift,2023-12-01,1,29,2
cruel summer,taylor swift,1,2019,8,23,7858,100,800840817.0,116,207,125,12,548,170,A,Major,55,58,72,11,0,11,15,cruel summer taylor swift,2024-01-01,1,34,19
cruel summer,taylor swift,1,2019,8,23,7858,100,800840817.0,116,207,125,12,548,170,A,Major,55,58,72,11,0,11,15,cruel summer taylor swift,2024-02-01,1,38,2
cruel summer,taylor swift,1,2019,8,23,7858,100,800840817.0,116,207,125,12,548,170,A,Major,55,58,72,11,0,11,15,cruel summer taylor swift,2024-03-01,1,42,7
cruel summer,taylor swift,1,2019,8,23,7858,100,800840817.0,116,207,125,12,548,170,A,Major,55,58,72,11,0,11,15,cruel summer taylor swift,2024-04-01,1,47,16
cruel summer,taylor swift,1,2019,8,23,7858,100,800840817.0,116,207,125,12,548,170,A,Major,55,58,72,11,0,11,15,cruel summer taylor swift,2024-05-01,1,51,41
where she goes,bad bunny,1,2023,5,18,3133,50,303236322.0,84,133,87,15,425,144,A,Minor,65,23,80,14,63,11,6,where she goes bad bunny,2023-06-01,8,1,8
