track_name,artist_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,combined,peak_position,weeks_on_chart
lala,myke towers,1,2023,3,23,1474,48,133716286.0,48,126,58,14,382,92,C#,Major,71,61,74,7,0,10,4,lala myke towers,43,58
vampire,olivia rodrigo,1,2023,6,30,1397,113,140003974.0,94,207,91,14,949,138,F,Major,51,32,53,17,0,31,6,vampire olivia rodrigo,1,121
cruel summer,taylor swift,1,2019,8,23,7858,100,800840817.0,116,207,125,12,548,170,A,Major,55,58,72,11,0,11,15,cruel summer taylor swift,1,326
where she goes,bad bunny,1,2023,5,18,3133,50,303236322.0,84,133,87,15,425,144,A,Minor,65,23,80,14,63,11,6,where she goes bad bunny,8,30
fukumean,gunna,1,2023,5,15,1096,83,95217315.0,60,210,48,11,953,130,C#,Minor,85,22,62,12,0,28,9,fukumean gunna,4,104
super shy,newjeans,1,2023,7,7,422,55,58255150.0,37,202,21,5,168,150,F,Minor,78,52,82,18,0,15,7,super shy newjeans,48,10
flowers,miley cyrus,1,2023,1,12,12211,115,1316855716.0,300,215,745,58,"1,021",118,,Major,71,65,68,6,0,3,7,flowers miley cyrus,1,360
daylight,david kushner,1,2023,4,14,3528,98,387570742.0,80,156,182,24,"1,281",130,D,Minor,51,32,43,83,0,9,3,daylight david kushner,33,104
as it was,harry styles,1,2022,3,31,23575,130,2513188493.0,403,198,863,46,,174,F#,Minor,52,66,73,34,0,31,6,as it was harry styles,1,447
kill bill,sza,1,2022,12,8,8109,77,1163093654.0,183,162,161,12,187,89,G#,Major,64,43,73,5,17,16,4,kill bill sza,1,316
like crazy,jimin,1,2023,3,24,596,68,363369738.0,8,104,23,2,29,120,G,Major,63,36,73,0,0,36,4,like crazy jimin,1,5
sabor fresa,fuerza regida,1,2023,6,22,250,26,78300654.0,16,149,10,5,168,130,G,Minor,79,96,86,9,0,9,9,sabor fresa fuerza regida,26,28
last night,morgan wallen,1,2023,1,31,2420,19,429829812.0,52,107,15,1,325,204,F#,Major,52,52,68,46,0,15,4,last night morgan wallen,1,392
rush,troye sivan,1,2023,7,13,864,78,22581161.0,71,135,50,1,294,126,F,Minor,74,35,84,0,0,11,6,rush troye sivan,77,2
anti-hero,taylor swift,1,2022,10,21,9082,56,999748277.0,242,142,165,9,310,97,E,Major,64,51,63,12,0,19,5,anti-hero taylor swift,1,349
blank space,taylor swift,1,2014,1,1,11434,53,1355959075.0,154,123,410,2,81,96,F,Major,75,57,68,9,0,13,6,blank space taylor swift,1,152
style,taylor swift,1,2014,1,1,7830,42,786181836.0,94,111,151,4,82,95,D,Major,60,48,79,0,0,12,4,style taylor swift,6,136
tqm,fuerza regida,1,2023,5,19,584,28,176553476.0,16,159,15,6,100,125,F,Minor,79,96,85,27,0,11,6,tqm fuerza regida,34,30
i ain't worried,onerepublic,1,2022,5,13,8431,76,1085685420.0,241,127,458,37,332,140,,Major,71,82,81,11,0,6,5,i ain't worried onerepublic,6,108
amargura,karol g,1,2023,2,24,1133,39,153372011.0,14,71,23,10,176,107,F#,Minor,92,55,70,18,0,15,7,amargura karol g,85,2
blinding lights,the weeknd,1,2019,11,29,43899,69,3703895074.0,672,199,"3,421",20,,171,C#,Major,50,38,80,0,0,9,7,blinding lights the weeknd,1,933
moonlight,kali uchis,1,2023,2,24,2649,42,256483385.0,67,79,57,1,615,137,G,Minor,64,88,72,51,0,17,5,moonlight kali uchis,80,22
la bachata,manuel turizo,1,2022,5,26,6804,45,1214083358.0,139,111,161,15,210,125,G,Minor,84,85,68,58,0,22,4,la bachata manuel turizo,67,49
s91,karol g,1,2023,7,14,525,41,16011326.0,34,115,39,6,216,128,,Minor,86,42,72,59,0,9,19,s91 karol g,45,6
cardigan,taylor swift,1,2020,7,24,7923,29,812019557.0,106,112,142,4,215,130,,Minor,61,53,58,55,0,27,4,cardigan taylor swift,1,28
people,libianca,1,2022,12,2,3506,56,373199958.0,105,64,169,8,529,198,A#,Minor,59,71,42,55,0,10,7,people libianca,80,12
enchanted (taylor's version),taylor swift,1,2023,7,7,148,24,39578178.0,32,93,8,2,5,82,G#,Major,51,22,53,1,0,15,3,enchanted (taylor's version) taylor swift,19,3
heat waves,glass animals,1,2020,6,28,22543,63,2557975762.0,386,144,707,28,,81,B,Major,76,53,53,44,0,9,9,heat waves glass animals,1,944
golden hour,jvke,1,2022,7,15,4511,36,751134527.0,70,58,109,18,230,94,C#,Minor,51,14,59,65,18,25,3,golden hour jvke,10,122
sweater weather,the neighbourhood,1,2012,5,14,16413,61,2282771485.0,166,87,"1,056",1,,124,A#,Major,61,41,81,5,2,10,3,sweater weather the neighbourhood,14,171
viva la vida,coldplay,1,2008,1,1,33898,62,1592909789.0,233,0,"4,095",9,0,138,F,Minor,49,42,62,9,0,11,3,viva la vida coldplay,1,319
here with me,d4vd,1,2022,7,17,3246,23,635412045.0,94,85,68,1,84,132,E,Major,58,27,48,50,0,12,3,here with me d4vd,60,22
riptide,vance joy,1,1975,1,1,31123,55,2009094673.0,300,65,"1,003",1,0,102,C#,Major,48,50,73,43,0,15,4,riptide vance joy,30,239
someone you loved,lewis capaldi,1,2018,11,8,17836,53,2887241814.0,440,125,"1,800",0,,110,C#,Major,50,45,41,75,0,11,3,someone you loved lewis capaldi,1,317
fast car,luke combs,1,2023,3,24,1446,12,157058870.0,57,97,35,0,429,98,G#,Major,71,67,60,19,0,12,3,fast car luke combs,2,345
say yes to heaven,lana del rey,1,2023,3,17,2000,46,127567540.0,49,105,63,1,0,100,F#,Minor,49,17,35,71,9,11,3,say yes to heaven lana del rey,54,1
snooze,sza,1,2022,12,9,2839,25,399686758.0,58,156,42,1,236,143,F,Major,56,39,55,14,0,11,13,snooze sza,2,503
lover,taylor swift,1,2012,1,1,8448,23,882831184.0,160,110,163,0,5,206,G,Major,43,50,55,50,0,15,10,lover taylor swift,10,52
chemical,post malone,1,2023,4,14,2528,39,172825906.0,56,91,59,3,486,170,D,Major,50,37,90,0,0,12,5,chemical post malone,13,52
mockingbird,eminem,1,2004,1,1,12985,61,1241559043.0,49,98,"2,394",5,204,84,E,Minor,62,24,67,21,0,13,28,mockingbird eminem,11,50
bones,imagine dragons,1,2021,3,11,4198,44,838079900.0,98,108,327,17,153,114,F,Minor,77,65,72,2,0,7,5,bones imagine dragons,47,51
set fire to the rain,adele,1,2011,1,1,14739,43,1163620694.0,88,112,"2,163",5,519,108,D,Minor,61,47,68,0,0,13,3,set fire to the rain adele,1,237
no role modelz,j. cole,1,2014,12,9,21164,36,1791000570.0,80,65,476,0,14,100,A#,Minor,70,47,52,30,0,6,33,no role modelz j. cole,36,70
nonsense,sabrina carpenter,1,2022,7,15,2346,27,342897938.0,69,12,38,8,64,139,G#,Major,74,68,68,3,0,26,4,nonsense sabrina carpenter,56,52
por las noches,peso pluma,1,2021,6,11,457,24,330346424.0,8,116,4,3,2,92,,Major,81,39,60,31,0,7,3,por las noches peso pluma,28,55
watermelon sugar,harry styles,1,2019,11,17,21915,34,2322580122.0,437,115,"1,212",12,,95,,Major,55,56,82,12,0,34,5,watermelon sugar harry styles,1,167
omg,newjeans,1,2023,1,2,1783,27,430977451.0,26,124,15,1,22,127,A,Minor,80,74,77,36,0,11,4,omg newjeans,74,8
perfect,ed sheeran,1,2017,1,1,16596,13,2559529074.0,7,0,"2,094",0,0,95,G#,Major,60,17,45,16,0,11,2,perfect ed sheeran,1,397
romantic homicide,d4vd,1,2022,7,20,2335,23,681583126.0,82,55,50,0,9,132,F#,Major,56,20,55,45,1,32,3,romantic homicide d4vd,33,40
believer,imagine dragons,1,2017,1,31,18986,23,2594040133.0,250,121,"2,969",10,31,125,A#,Minor,77,74,78,4,0,23,11,believer imagine dragons,4,313
without me,eminem,1,2002,1,1,21081,43,1687664027.0,98,76,"3,889",5,0,112,G,Major,92,67,66,0,0,36,9,without me eminem,2,44
somewhere only we know,keane,1,2004,1,1,20015,16,1089402494.0,107,69,"5,239",0,558,172,A,Major,45,33,59,6,0,8,3,somewhere only we know keane,50,12
el gordo trae el mando,chino pacas,1,2023,1,27,539,21,255932395.0,7,71,4,2,13,140,G,Minor,74,96,80,18,0,5,5,el gordo trae el mando chino pacas,58,17
bye,peso pluma,1,2023,5,26,324,14,95053634.0,13,110,8,2,60,122,,Major,78,70,81,57,0,10,5,bye peso pluma,48,13
locked out of heaven,bruno mars,1,2012,12,5,1622,9,1481349984.0,0,0,356,0,0,144,F,Major,73,87,70,6,0,28,5,locked out of heaven bruno mars,1,145
counting stars,onerepublic,1,2013,1,1,29215,43,2011464183.0,179,97,"3,394",11,153,122,C#,Minor,66,48,71,6,0,12,4,counting stars onerepublic,2,535
ghost,justin bieber,1,2021,3,19,5866,24,1167330737.0,107,38,95,0,,154,D,Major,61,41,74,21,0,40,6,ghost justin bieber,5,343
under the influence,chris brown,1,2019,10,4,3859,26,929964809.0,133,181,3,0,,117,A,Minor,73,31,69,6,0,11,4,under the influence chris brown,12,219
gasolina,daddy yankee,1,2004,7,13,6457,18,657723613.0,98,95,453,0,454,96,,Major,86,74,80,33,0,8,6,gasolina daddy yankee,32,42
sure thing,miguel,1,2010,5,25,13801,19,950906471.0,137,125,435,6,285,81,B,Minor,68,51,60,3,0,19,10,sure thing miguel,11,326
the night we met,lord huron,1,2015,2,2,18515,35,1410088830.0,70,82,939,1,162,174,D,Major,45,10,37,97,25,64,4,the night we met lord huron,99,1
when i was your man,bruno mars,1,2012,12,5,2420,11,1661187319.0,0,0,806,0,0,145,,Major,60,43,27,94,0,14,4,when i was your man bruno mars,1,128
do i wanna know?,arctic monkeys,1,2013,1,1,33783,26,1788326445.0,133,92,"2,733",1,26,85,F,Major,55,42,53,17,0,22,3,do i wanna know? arctic monkeys,70,57
demons,imagine dragons,1,2012,1,1,26694,13,1840364617.0,65,82,"3,425",4,13,180,D#,Major,33,38,71,20,0,28,5,demons imagine dragons,6,457
reminder,the weeknd,1,2016,11,25,6518,17,684675814.0,45,85,238,1,47,160,G#,Major,71,40,50,16,0,16,22,reminder the weeknd,31,36
shake it off,taylor swift,1,2014,1,1,21335,13,1113838873.0,328,70,"1,378",9,20,160,G,Major,65,95,80,5,0,41,16,shake it off taylor swift,1,295
snap,rosa linn,1,2022,3,19,3202,18,726307468.0,148,80,226,24,0,170,,Major,56,53,64,11,0,45,6,snap rosa linn,67,27
snap,rosa linn,1,2022,3,19,1818,0,711366595.0,3,0,63,0,353,170,,Major,56,52,64,11,0,45,7,snap rosa linn,67,27
shape of you,ed sheeran,1,2017,1,6,32181,10,3562543890.0,33,0,"6,808",7,0,96,C#,Minor,83,93,65,58,0,9,8,shape of you ed sheeran,1,422
night changes,one direction,1,2014,11,17,7124,18,1131090940.0,60,20,2,0,,120,G#,Major,67,40,52,86,0,12,4,night changes one direction,31,48
circles,post malone,1,2019,8,30,19664,16,2132335812.0,391,73,633,3,37,120,,Major,70,59,75,24,0,9,4,circles post malone,1,451
just the way you are,bruno mars,1,2010,1,1,21106,13,1641426668.0,82,0,"2,946",0,0,109,F,Major,63,46,85,1,0,9,5,just the way you are bruno mars,1,294
