track_name,artist_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,combined
seven (feat. latto) (explicit ver.),"latto, jung kook",2,2023,7,14,553,147,141381703,43,263,45,10,826,125,B,Major,80,89,83,31,0,8,4,"seven (feat. latto) (explicit ver.) latto, jung kook"
lala,myke towers,1,2023,3,23,1474,48,133716286,48,126,58,14,382,92,C#,Major,71,61,74,7,0,10,4,lala myke towers
vampire,olivia rodrigo,1,2023,6,30,1397,113,140003974,94,207,91,14,949,138,F,Major,51,32,53,17,0,31,6,vampire olivia rodrigo
cruel summer,taylor swift,1,2019,8,23,7858,100,800840817,116,207,125,12,548,170,A,Major,55,58,72,11,0,11,15,cruel summer taylor swift
where she goes,bad bunny,1,2023,5,18,3133,50,303236322,84,133,87,15,425,144,A,Minor,65,23,80,14,63,11,6,where she goes bad bunny
sprinter,"dave, central cee",2,2023,6,1,2186,91,183706234,67,213,88,17,946,141,C#,Major,92,66,58,19,0,8,24,"sprinter dave, central cee"
ella baila sola,"eslabon armado, peso pluma",2,2023,3,16,3090,50,725980112,34,222,43,13,418,148,F,Minor,67,83,76,48,0,8,3,"ella baila sola eslabon armado, peso pluma"
columbia,quevedo,1,2023,7,7,714,43,58149378,25,89,30,13,194,100,F,Major,67,26,71,37,0,11,4,columbia quevedo
fukumean,gunna,1,2023,5,15,1096,83,95217315,60,210,48,11,953,130,C#,Minor,85,22,62,12,0,28,9,fukumean gunna
la bebe - remix,"peso pluma, yng lvcas",2,2023,3,17,2953,44,553634067,49,110,66,13,339,170,D,Minor,81,56,48,21,0,8,33,"la bebe - remix peso pluma, yng lvcas"
un x100to,"bad bunny, grupo frontera",2,2023,4,17,2876,40,505671438,41,205,54,12,251,83,F#,Minor,57,56,72,23,0,27,5,"un x100to bad bunny, grupo frontera"
super shy,newjeans,1,2023,7,7,422,55,58255150,37,202,21,5,168,150,F,Minor,78,52,82,18,0,15,7,super shy newjeans
flowers,miley cyrus,1,2023,1,12,12211,115,1316855716,300,215,745,58,"1,021",118,,Major,71,65,68,6,0,3,7,flowers miley cyrus
daylight,david kushner,1,2023,4,14,3528,98,387570742,80,156,182,24,"1,281",130,D,Minor,51,32,43,83,0,9,3,daylight david kushner
as it was,harry styles,1,2022,3,31,23575,130,2513188493,403,198,863,46,,174,F#,Minor,52,66,73,34,0,31,6,as it was harry styles
kill bill,sza,1,2022,12,8,8109,77,1163093654,183,162,161,12,187,89,G#,Major,64,43,73,5,17,16,4,kill bill sza
cupid - twin ver.,fifty fifty,1,2023,2,24,2942,77,496795686,91,212,78,6,0,120,B,Minor,78,76,59,43,0,34,3,cupid - twin ver. fifty fifty
"what was i made for? [from the motion picture ""barbie""]",billie eilish,1,2023,7,13,873,104,30546883,80,227,95,24,"1,173",78,,Major,44,14,9,96,0,10,3,"what was i made for? [from the motion picture ""barbie""] billie eilish"
classy 101,"feid, young miko",2,2023,3,31,2610,40,335222234,43,100,54,14,187,100,B,Major,86,67,66,14,0,12,16,"classy 101 feid, young miko"
like crazy,jimin,1,2023,3,24,596,68,363369738,8,104,23,2,29,120,G,Major,63,36,73,0,0,36,4,like crazy jimin
lady gaga,"gabito ballesteros, junior h, peso pluma",3,2023,6,22,332,26,86444842,11,163,10,4,0,140,F,Minor,65,87,74,22,0,42,4,"lady gaga gabito ballesteros, junior h, peso pluma"
i can see you (taylorï¿½ï¿½ï¿½s version) (from the,taylor swift,1,2023,7,7,516,38,52135248,73,119,42,1,150,123,F#,Major,69,82,76,6,0,6,3,i can see you (taylorï¿½ï¿½ï¿½s version) (from the taylor swift
i wanna be yours,arctic monkeys,1,2013,1,1,12859,110,1297026226,24,98,582,2,73,135,,Minor,48,44,42,12,2,11,3,i wanna be yours arctic monkeys
"peso pluma: bzrp music sessions, vol. 55","bizarrap, peso pluma",2,2023,5,31,1313,40,200647221,17,152,32,11,139,133,F,Minor,85,81,67,26,0,12,5,"peso pluma: bzrp music sessions, vol. 55 bizarrap, peso pluma"
popular (with playboi carti & madonna) - the idol vol. 1 (music from the hbo original series),"the weeknd, madonna, playboi carti",3,2023,6,2,1945,87,115364561,74,182,87,14,"1,093",99,C#,Major,85,83,68,7,0,36,20,"popular (with playboi carti & madonna) - the idol vol. 1 (music from the hbo original series) the weeknd, madonna, playboi carti"
sabor fresa,fuerza regida,1,2023,6,22,250,26,78300654,16,149,10,5,168,130,G,Minor,79,96,86,9,0,9,9,sabor fresa fuerza regida
calm down (with selena gomez),"rï¿½ï¿½ma, selena g",2,2022,3,25,7112,77,899183384,202,119,318,38,96,107,B,Major,80,82,80,43,0,14,4,"calm down (with selena gomez) rï¿½ï¿½ma, selena g"
mojabi ghost,"tainy, bad bunny",2,2023,6,29,859,40,61245289,35,109,41,14,211,122,F#,Minor,81,74,71,14,0,56,4,"mojabi ghost tainy, bad bunny"
last night,morgan wallen,1,2023,1,31,2420,19,429829812,52,107,15,1,325,204,F#,Major,52,52,68,46,0,15,4,last night morgan wallen
dance the night (from barbie the album),dua lipa,1,2023,5,25,2988,101,127408954,0,0,143,38,0,110,B,Minor,67,78,85,2,0,33,5,dance the night (from barbie the album) dua lipa
rush,troye sivan,1,2023,7,13,864,78,22581161,71,135,50,1,294,126,F,Minor,74,35,84,0,0,11,6,rush troye sivan
